Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
llama3:8b,Can you summarize the key points of the book Atomic Habits?,561,48.652,0.0322
llama3:8b,How can I start a simple workout routine at home with no equ...,565,53.732,0.0332
llama3:8b,Can you explain inflation in simple terms?,494,56.016,0.0336
llama3:8b,What are some tips to stay focused while studying?,535,58.048,0.0334
llama3:8b,What are some tips to stay focused while studying?,582,65.916,0.0317
llama3:8b,Can you explain inflation in simple terms?,407,72.214,0.0314
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,737,66.800,0.0320
llama3:8b,How do I negotiate my salary during a job offer?,644,69.306,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,521,74.071,0.0328
llama3:8b,What are some tips to stay focused while studying?,579,77.094,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,549,84.459,0.0331
llama3:8b,Can you explain inflation in simple terms?,433,90.559,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,528,87.709,0.0332
llama3:8b,What are some fun icebreaker questions for team meetings?,434,89.621,0.0337
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,731,85.064,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,611,90.198,0.0337
llama3:8b,How do I negotiate my salary during a job offer?,645,92.194,0.0337
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,314,104.306,0.0336
llama3:8b,How do I negotiate my salary during a job offer?,598,102.361,0.0335
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,361,111.105,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,578,105.256,0.0324
llama3:8b,What are some fun icebreaker questions for team meetings?,445,111.846,0.0335
llama3:8b,Can you summarize the key points of the book Atomic Habits?,658,105.592,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,523,115.824,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,373,123.943,0.0322
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,473,121.883,0.0322
llama3:8b,What's the difference between anxiety and stress?,491,125.837,0.0333
llama3:8b,Can you explain inflation in simple terms?,521,127.075,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,687,124.119,0.0328
llama3:8b,How do I negotiate my salary during a job offer?,503,133.123,0.0327
llama3:8b,What are some tips to stay focused while studying?,490,133.579,0.0336
llama3:8b,What are some fun icebreaker questions for team meetings?,451,135.834,0.0336
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,333,149.656,0.0324
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,724,138.165,0.0325
llama3:8b,How do I negotiate my salary during a job offer?,602,142.194,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,550,147.616,0.0326
llama3:8b,Can you explain inflation in simple terms?,462,151.057,0.0329
llama3:8b,How can I start a simple workout routine at home with no equ...,740,142.249,0.0332
llama3:8b,What are some tips to stay focused while studying?,562,161.829,0.0320
llama3:8b,How do I negotiate my salary during a job offer?,487,165.657,0.0316
llama3:8b,How do I negotiate my salary during a job offer?,463,166.393,0.0338
llama3:8b,How do I negotiate my salary during a job offer?,595,166.902,0.0340
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,291,181.445,0.0326
llama3:8b,How do I negotiate my salary during a job offer?,555,179.904,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,748,173.212,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,619,176.820,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,376,185.938,0.0332
llama3:8b,How can I start a simple workout routine at home with no equ...,606,182.157,0.0335
llama3:8b,What are some tips to stay focused while studying?,536,186.455,0.0333
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,528,187.141,0.0333
llama3:8b,How do I write a professional follow-up email after a job in...,482,190.991,0.0325
llama3:8b,How can I start a simple workout routine at home with no equ...,668,184.912,0.0334
llama3:8b,Can you summarize the key points of the book Atomic Habits?,567,194.662,0.0322
llama3:8b,What are some tips to stay focused while studying?,542,197.501,0.0321
llama3:8b,How do I write a professional follow-up email after a job in...,411,202.551,0.0337
llama3:8b,What are some tips to stay focused while studying?,546,204.396,0.0321
llama3:8b,What's the difference between anxiety and stress?,502,205.540,0.0320
llama3:8b,How can I start a simple workout routine at home with no equ...,583,203.864,0.0337
llama3:8b,Can you summarize the key points of the book Atomic Habits?,562,206.710,0.0321
llama3:8b,How do I negotiate my salary during a job offer?,519,213.012,0.0321
llama3:8b,What are some tips to stay focused while studying?,596,214.961,0.0332
llama3:8b,What are some tips to stay focused while studying?,561,221.006,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,539,223.581,0.0331
llama3:8b,How do I write a professional follow-up email after a job in...,518,229.772,0.0324
llama3:8b,Can you explain inflation in simple terms?,419,233.587,0.0329
llama3:8b,What are some fun icebreaker questions for team meetings?,467,234.855,0.0327
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,347,239.711,0.0326
llama3:8b,Can you explain inflation in simple terms?,432,240.209,0.0330
llama3:8b,Can you summarize the key points of the book Atomic Habits?,526,242.408,0.0322
llama3:8b,Can you explain inflation in simple terms?,556,241.442,0.0333
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,755,239.220,0.0323
llama3:8b,How can I start a simple workout routine at home with no equ...,856,236.709,0.0324
llama3:8b,What's the difference between anxiety and stress?,518,248.366,0.0332
llama3:8b,What are some tips to stay focused while studying?,597,246.626,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,589,250.222,0.0321
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,803,245.910,0.0323
llama3:8b,What are some tips to stay focused while studying?,594,259.385,0.0336
llama3:8b,What's the difference between anxiety and stress?,426,263.638,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,408,271.941,0.0334
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,526,273.368,0.0341
llama3:8b,Can you explain inflation in simple terms?,435,277.858,0.0342
llama3:8b,Can you summarize the key points of the book Atomic Habits?,568,279.411,0.0336
llama3:8b,How do I negotiate my salary during a job offer?,553,285.588,0.0370
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,149,298.544,0.0504
llama3:8b,How do I negotiate my salary during a job offer?,93,300.472,0.0603
llama3:8b,How do I negotiate my salary during a job offer?,205,296.724,0.0456
llama3:8b,How can I start a simple workout routine at home with no equ...,1,302.684,2.5021
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,1,302.702,2.5032
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,1,302.736,2.5289
llama3:8b,What are some tips to stay focused while studying?,1,302.824,2.5195
llama3:8b,Can you explain inflation in simple terms?,13,302.955,0.2224
llama3:8b,Can you explain inflation in simple terms?,17,302.778,0.1796
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,14,302.948,0.2067
llama3:8b,How do I write a professional follow-up email after a job in...,14,302.950,0.2075
llama3:8b,How can I start a simple workout routine at home with no equ...,18,301.770,0.1702
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,639,281.779,0.0377
llama3:8b,What are some tips to stay focused while studying?,456,288.085,0.0390
llama3:8b,How can I start a simple workout routine at home with no equ...,331,291.447,0.0406
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,288,292.855,0.0418
llama3:8b,What are some tips to stay focused while studying?,4,303.494,0.6510
llama3:8b,What are some tips to stay focused while studying?,2,303.598,1.2745
llama3:8b,What's the difference between anxiety and stress?,8,303.515,0.3415
llama3:8b,How do I negotiate my salary during a job offer?,8,303.516,0.3413
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,6,303.608,0.4430
llama3:8b,What are some tips to stay focused while studying?,8,303.521,0.3434
llama3:8b,How do I write a professional follow-up email after a job in...,8,303.597,0.3413
llama3:8b,What's the difference between anxiety and stress?,3,303.820,0.8617
llama3:8b,How can I start a simple workout routine at home with no equ...,23,302.716,0.1406
llama3:8b,Can you explain inflation in simple terms?,18,302.969,0.1661
llama3:8b,Can you explain inflation in simple terms?,16,302.980,0.1868
llama3:8b,What's the difference between anxiety and stress?,18,302.978,0.1665
llama3:8b,Can you summarize the key points of the book Atomic Habits?,13,303.072,0.2229
llama3:8b,How can I start a simple workout routine at home with no equ...,22,302.682,0.1431
llama3:8b,How do I write a professional follow-up email after a job in...,22,302.635,0.1454
llama3:8b,Can you explain inflation in simple terms?,224,285.652,0.0308
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,366,266.616,0.0307
llama3:8b,Can you explain inflation in simple terms?,486,266.175,0.0322
llama3:8b,What's the difference between anxiety and stress?,491,271.813,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,495,283.097,0.0321
llama3:8b,Can you summarize the key points of the book Atomic Habits?,497,284.603,0.0363
llama3:8b,How can I start a simple workout routine at home with no equ...,321,289.743,0.0401
llama3:8b,How do I negotiate my salary during a job offer?,410,286.619,0.0390
llama3:8b,How do I write a professional follow-up email after a job in...,652,267.522,0.0321
llama3:8b,How do I write a professional follow-up email after a job in...,530,273.417,0.0321
llama3:8b,How do I negotiate my salary during a job offer?,433,285.898,0.0388
llama3:8b,How do I negotiate my salary during a job offer?,380,287.630,0.0396
llama3:8b,What's the difference between anxiety and stress?,436,256.399,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,638,268.841,0.0323
llama3:8b,Can you summarize the key points of the book Atomic Habits?,331,289.234,0.0405
llama3:8b,What's the difference between anxiety and stress?,473,254.094,0.0323
llama3:8b,What's the difference between anxiety and stress?,423,281.182,0.0329
llama3:8b,What are some tips to stay focused while studying?,424,286.320,0.0385
llama3:8b,How do I negotiate my salary during a job offer?,634,249.073,0.0319
llama3:8b,Can you explain inflation in simple terms?,505,276.977,0.0329
llama3:8b,Can you summarize the key points of the book Atomic Habits?,549,226.344,0.0317
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,752,225.497,0.0319
llama3:8b,What's the difference between anxiety and stress?,458,279.329,0.0336
llama3:8b,What's the difference between anxiety and stress?,408,259.614,0.0330
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,733,225.123,0.0320
llama3:8b,What are some tips to stay focused while studying?,527,257.609,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,559,275.967,0.0335
llama3:8b,What are some tips to stay focused while studying?,457,235.843,0.0325
llama3:8b,What are some tips to stay focused while studying?,564,273.445,0.0336
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,580,231.233,0.0327
llama3:8b,How do I negotiate my salary during a job offer?,547,250.200,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,606,262.209,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,617,273.103,0.0335
llama3:8b,What's the difference between anxiety and stress?,508,234.243,0.0330
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,448,258.468,0.0331
llama3:8b,Can you summarize the key points of the book Atomic Habits?,517,257.898,0.0329
llama3:8b,What are some tips to stay focused while studying?,528,270.827,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,328,260.109,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,623,216.912,0.0328
llama3:8b,How do I negotiate my salary during a job offer?,596,222.349,0.0328
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,662,242.648,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,354,253.603,0.0331
llama3:8b,How do I negotiate my salary during a job offer?,622,223.919,0.0326
llama3:8b,Can you summarize the key points of the book Atomic Habits?,629,267.277,0.0330
llama3:8b,What are some tips to stay focused while studying?,540,217.131,0.0325
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,454,245.036,0.0339
llama3:8b,What are some fun icebreaker questions for team meetings?,399,241.910,0.0341
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,707,252.880,0.0340
llama3:8b,Can you summarize the key points of the book Atomic Habits?,664,257.632,0.0331
llama3:8b,What's the difference between anxiety and stress?,444,187.842,0.0322
llama3:8b,How can I start a simple workout routine at home with no equ...,624,217.781,0.0323
llama3:8b,How do I negotiate my salary during a job offer?,681,248.392,0.0331
llama3:8b,Can you explain inflation in simple terms?,482,254.443,0.0332
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,378,237.454,0.0341
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,300,216.318,0.0340
llama3:8b,How can I start a simple workout routine at home with no equ...,641,247.076,0.0341
llama3:8b,How do I write a professional follow-up email after a job in...,547,243.675,0.0331
llama3:8b,How can I start a simple workout routine at home with no equ...,580,171.022,0.0323
llama3:8b,Can you summarize the key points of the book Atomic Habits?,533,241.431,0.0340
llama3:8b,How do I negotiate my salary during a job offer?,652,188.550,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,459,238.974,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,424,156.094,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,550,160.125,0.0327
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,315,213.229,0.0334
llama3:8b,What's the difference between anxiety and stress?,505,241.855,0.0328
llama3:8b,What are some fun icebreaker questions for team meetings?,481,241.316,0.0327
llama3:8b,Can you explain inflation in simple terms?,428,157.561,0.0326
llama3:8b,What are some tips to stay focused while studying?,517,211.932,0.0332
llama3:8b,What are some tips to stay focused while studying?,500,208.999,0.0332
llama3:8b,Can you summarize the key points of the book Atomic Habits?,519,234.488,0.0329
llama3:8b,How can I start a simple workout routine at home with no equ...,525,155.094,0.0326
llama3:8b,How can I start a simple workout routine at home with no equ...,529,208.578,0.0331
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,322,233.796,0.0329
llama3:8b,What are some tips to stay focused while studying?,573,233.095,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,475,207.138,0.0331
llama3:8b,What are some tips to stay focused while studying?,575,155.350,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,592,158.252,0.0324
llama3:8b,What are some tips to stay focused while studying?,458,208.840,0.0335
llama3:8b,How do I write a professional follow-up email after a job in...,620,237.238,0.0326
llama3:8b,What are some tips to stay focused while studying?,486,231.093,0.0326
llama3:8b,What are some tips to stay focused while studying?,565,313.844,0.0325
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,383,234.589,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,349,185.802,0.0336
llama3:8b,What's the difference between anxiety and stress?,508,204.345,0.0335
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,703,212.063,0.0336
llama3:8b,What are some fun icebreaker questions for team meetings?,414,170.391,0.0328
llama3:8b,How can I start a simple workout routine at home with no equ...,669,163.677,0.0327
llama3:8b,What are some tips to stay focused while studying?,464,164.632,0.0329
llama3:8b,What are some tips to stay focused while studying?,497,236.926,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,493,172.973,0.0341
llama3:8b,What are some fun icebreaker questions for team meetings?,411,221.546,0.0332
llama3:8b,How do I negotiate my salary during a job offer?,485,229.268,0.0332
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,836,231.116,0.0330
llama3:8b,What are some fun icebreaker questions for team meetings?,449,160.534,0.0342
llama3:8b,Can you summarize the key points of the book Atomic Habits?,533,164.401,0.0330
llama3:8b,What's the difference between anxiety and stress?,504,145.910,0.0343
llama3:8b,What are some tips to stay focused while studying?,569,148.468,0.0342
llama3:8b,What are some tips to stay focused while studying?,593,156.474,0.0331
llama3:8b,What are some tips to stay focused while studying?,585,150.272,0.0330
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,470,157.320,0.0340
llama3:8b,How do I write a professional follow-up email after a job in...,488,228.641,0.0341
llama3:8b,What are some fun icebreaker questions for team meetings?,443,211.439,0.0340
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,762,150.646,0.0330
llama3:8b,How do I negotiate my salary during a job offer?,550,160.483,0.0330
llama3:8b,How do I negotiate my salary during a job offer?,598,222.212,0.0340
llama3:8b,Can you summarize the key points of the book Atomic Habits?,620,228.067,0.0340
llama3:8b,How can I start a simple workout routine at home with no equ...,600,159.719,0.0339
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,365,168.606,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,463,166.793,0.0339
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,620,162.213,0.0338
llama3:8b,What are some tips to stay focused while studying?,536,167.258,0.0333
llama3:8b,What are some fun icebreaker questions for team meetings?,453,210.450,0.0341
llama3:8b,What are some fun icebreaker questions for team meetings?,408,364.705,0.0341
llama3:8b,How do I negotiate my salary during a job offer?,600,174.251,0.0325
llama3:8b,Can you explain inflation in simple terms?,327,182.311,0.0328
llama3:8b,How do I negotiate my salary during a job offer?,551,177.170,0.0323
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,703,172.650,0.0333
llama3:8b,How can I start a simple workout routine at home with no equ...,680,224.190,0.0341
llama3:8b,Can you summarize the key points of the book Atomic Habits?,535,203.894,0.0342
llama3:8b,Can you explain inflation in simple terms?,388,184.354,0.0313
llama3:8b,How can I start a simple workout routine at home with no equ...,463,182.182,0.0331
llama3:8b,Can you explain inflation in simple terms?,286,199.745,0.0342
llama3:8b,How can I start a simple workout routine at home with no equ...,609,179.232,0.0333
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,743,180.144,0.0320
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,309,196.148,0.0324
llama3:8b,How do I write a professional follow-up email after a job in...,488,196.278,0.0341
llama3:8b,What's the difference between anxiety and stress?,492,192.862,0.0326
llama3:8b,What's the difference between anxiety and stress?,474,193.100,0.0341
llama3:8b,What's the difference between anxiety and stress?,468,194.576,0.0326
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,324,199.084,0.0342
llama3:8b,What's the difference between anxiety and stress?,454,197.228,0.0340
llama3:8b,How do I write a professional follow-up email after a job in...,521,196.674,0.0341
llama3:8b,How can I start a simple workout routine at home with no equ...,547,195.544,0.0340
llama3:8b,Can you summarize the key points of the book Atomic Habits?,533,197.031,0.0343
llama3:8b,Can you explain inflation in simple terms?,403,203.430,0.0322
llama3:8b,What are some tips to stay focused while studying?,588,199.666,0.0342
llama3:8b,What are some fun icebreaker questions for team meetings?,411,206.032,0.0323
llama3:8b,Can you explain inflation in simple terms?,444,208.665,0.0338
llama3:8b,Can you explain inflation in simple terms?,450,208.329,0.0316
llama3:8b,Can you explain inflation in simple terms?,363,212.229,0.0330
llama3:8b,How do I negotiate my salary during a job offer?,523,209.085,0.0330
llama3:8b,How can I start a simple workout routine at home with no equ...,532,209.428,0.0317
llama3:8b,How do I negotiate my salary during a job offer?,509,209.945,0.0330
llama3:8b,How do I negotiate my salary during a job offer?,528,214.032,0.0338
llama3:8b,What are some tips to stay focused while studying?,533,213.537,0.0327
llama3:8b,Can you explain inflation in simple terms?,430,219.514,0.0337
llama3:8b,How do I negotiate my salary during a job offer?,567,215.904,0.0322
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,330,224.091,0.0325
llama3:8b,What are some tips to stay focused while studying?,482,218.967,0.0325
llama3:8b,How do I write a professional follow-up email after a job in...,377,222.054,0.0326
llama3:8b,What's the difference between anxiety and stress?,450,223.460,0.0338
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,818,214.877,0.0339
llama3:8b,Can you summarize the key points of the book Atomic Habits?,523,225.899,0.0323
llama3:8b,How can I start a simple workout routine at home with no equ...,530,225.729,0.0325
llama3:8b,What's the difference between anxiety and stress?,443,231.653,0.0341
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,369,234.592,0.0324
llama3:8b,How can I start a simple workout routine at home with no equ...,688,226.148,0.0326
llama3:8b,How do I write a professional follow-up email after a job in...,484,234.140,0.0318
llama3:8b,What are some fun icebreaker questions for team meetings?,384,238.281,0.0341
llama3:8b,How do I write a professional follow-up email after a job in...,505,233.932,0.0320
llama3:8b,How do I negotiate my salary during a job offer?,535,233.756,0.0319
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,629,230.628,0.0328
llama3:8b,How do I negotiate my salary during a job offer?,582,233.855,0.0342
llama3:8b,What's the difference between anxiety and stress?,401,242.637,0.0335
llama3:8b,How can I start a simple workout routine at home with no equ...,532,241.977,0.0336
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,335,251.039,0.0334
llama3:8b,Can you explain inflation in simple terms?,365,253.380,0.0323
llama3:8b,How do I write a professional follow-up email after a job in...,680,242.507,0.0319
llama3:8b,How do I negotiate my salary during a job offer?,597,246.363,0.0330
llama3:8b,What's the difference between anxiety and stress?,472,249.236,0.0322
llama3:8b,What are some fun icebreaker questions for team meetings?,524,248.391,0.0336
llama3:8b,How can I start a simple workout routine at home with no equ...,625,246.626,0.0336
llama3:8b,How do I write a professional follow-up email after a job in...,521,249.980,0.0324
llama3:8b,How do I negotiate my salary during a job offer?,561,250.439,0.0324
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,610,251.304,0.0326
llama3:8b,What are some tips to stay focused while studying?,581,255.751,0.0335
llama3:8b,What's the difference between anxiety and stress?,510,259.643,0.0327
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,301,267.071,0.0332
llama3:8b,How do I write a professional follow-up email after a job in...,506,262.228,0.0334
llama3:8b,How do I write a professional follow-up email after a job in...,456,265.813,0.0328
llama3:8b,How do I write a professional follow-up email after a job in...,497,264.048,0.0316
llama3:8b,How do I negotiate my salary during a job offer?,536,263.850,0.0316
llama3:8b,Can you explain inflation in simple terms?,477,266.518,0.0315
llama3:8b,How do I write a professional follow-up email after a job in...,585,265.781,0.0334
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,374,275.682,0.0331
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,748,265.002,0.0330
llama3:8b,What are some tips to stay focused while studying?,574,270.350,0.0331
llama3:8b,What's the difference between anxiety and stress?,504,274.993,0.0333
llama3:8b,What's the difference between anxiety and stress?,442,280.141,0.0333
llama3:8b,Can you summarize the key points of the book Atomic Habits?,450,279.364,0.0319
llama3:8b,What's the difference between anxiety and stress?,459,280.909,0.0319
llama3:8b,Can you summarize the key points of the book Atomic Habits?,570,280.210,0.0319
llama3:8b,How do I write a professional follow-up email after a job in...,542,281.454,0.0319
llama3:8b,What are some tips to stay focused while studying?,363,287.987,0.0404
llama3:8b,What's the difference between anxiety and stress?,338,288.923,0.0408
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,329,289.235,0.0411
llama3:8b,How do I write a professional follow-up email after a job in...,163,294.702,0.0488
llama3:8b,What are some fun icebreaker questions for team meetings?,1,300.142,2.5281
llama3:8b,Can you summarize the key points of the book Atomic Habits?,5,300.008,0.5323
llama3:8b,What are some fun icebreaker questions for team meetings?,7,299.951,0.3956
llama3:8b,How do I write a professional follow-up email after a job in...,6,299.984,0.4615
llama3:8b,How do I negotiate my salary during a job offer?,6,300.014,0.4432
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,3,300.082,0.8611
llama3:8b,How do I write a professional follow-up email after a job in...,4,300.058,0.6561
llama3:8b,What are some fun icebreaker questions for team meetings?,4,300.091,0.6566
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,700,276.914,0.0368
llama3:8b,How can I start a simple workout routine at home with no equ...,642,278.881,0.0370
llama3:8b,How do I negotiate my salary during a job offer?,459,285.001,0.0385
llama3:8b,How can I start a simple workout routine at home with no equ...,258,291.663,0.0427
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,5,300.030,0.5309
llama3:8b,How can I start a simple workout routine at home with no equ...,1,300.160,2.5039
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,3,300.058,0.8686
llama3:8b,How do I negotiate my salary during a job offer?,5,300.046,0.5242
llama3:8b,How do I write a professional follow-up email after a job in...,1,300.150,2.5311
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,10,299.877,0.2787
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,5,300.044,0.5352
llama3:8b,Can you explain inflation in simple terms?,14,299.748,0.2090
llama3:8b,What are some tips to stay focused while studying?,12,299.818,0.2374
llama3:8b,How do I negotiate my salary during a job offer?,13,299.791,0.2210
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,5,300.042,0.5279
llama3:8b,Can you help me plan a 3-day trip to Paris on a budget?,14,299.718,0.2105
llama3:8b,What are some tips to stay focused while studying?,2,300.155,1.2562
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,12,299.818,0.2419
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,11,299.812,0.2644
llama3:8b,Can you explain inflation in simple terms?,12,299.808,0.2380
llama3:8b,What are some fun icebreaker questions for team meetings?,5,300.106,0.5275
llama3:8b,How do I write a professional follow-up email after a job in...,11,299.878,0.2542
llama3:8b,Can you explain inflation in simple terms?,7,299.966,0.3856
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,7,299.946,0.3883
llama3:8b,How do I negotiate my salary during a job offer?,15,299.721,0.1963
llama3:8b,How do I negotiate my salary during a job offer?,10,299.863,0.2887
llama3:8b,Can you summarize the key points of the book Atomic Habits?,21,299.510,0.1503
llama3:8b,What's a quick and healthy dinner I can make with chicken an...,20,299.557,0.1555
llama3:8b,What's the difference between anxiety and stress?,14,299.760,0.2101
