Model,Prompt,Tokens,TTFT (s),Avg Time/Token (s)
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,608,111.249,0.0271
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,315,120.106,0.0281
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,368,119.832,0.0270
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,102,127.365,0.0280
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",307,123.366,0.0282
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,162,127.872,0.0276
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",295,126.011,0.0257
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,371,124.875,0.0274
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,424,125.018,0.0260
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,324,130.074,0.0265
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,531,124.940,0.0281
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,265,132.440,0.0280
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,470,128.481,0.0268
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,292,132.653,0.0262
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,529,126.731,0.0261
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,258,134.140,0.0266
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",474,129.907,0.0276
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,461,131.081,0.0265
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,612,127.581,0.0264
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,333,136.104,0.0269
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,498,130.309,0.0277
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,315,137.716,0.0272
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",261,139.915,0.0268
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,336,140.946,0.0269
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,364,140.127,0.0267
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,364,140.608,0.0278
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,332,144.116,0.0271
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,431,141.054,0.0266
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,445,140.376,0.0278
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",260,148.005,0.0266
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,438,143.372,0.0265
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,398,144.138,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",271,149.039,0.0263
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",392,146.337,0.0263
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,171,151.858,0.0259
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,314,149.905,0.0267
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,556,143.790,0.0273
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",270,152.172,0.0263
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",390,150.814,0.0268
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,237,154.054,0.0268
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,202,155.739,0.0267
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,669,145.187,0.0271
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,367,153.991,0.0276
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",359,154.129,0.0271
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,349,156.245,0.0282
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,174,161.470,0.0269
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,304,157.393,0.0269
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,555,151.601,0.0270
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,198,162.363,0.0288
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,359,158.066,0.0272
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,276,161.366,0.0272
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,231,163.930,0.0273
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,155,167.913,0.0274
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,259,165.217,0.0288
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,613,156.397,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",277,165.652,0.0277
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,550,159.355,0.0289
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,509,161.225,0.0276
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,440,165.275,0.0278
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,499,164.200,0.0287
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,260,170.343,0.0277
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,223,172.260,0.0278
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,194,173.412,0.0276
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,170,175.301,0.0277
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,478,168.165,0.0283
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,199,175.357,0.0273
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,550,168.969,0.0278
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,173,179.112,0.0270
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,382,173.270,0.0278
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,213,178.552,0.0276
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,646,166.662,0.0278
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,444,173.738,0.0276
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",273,177.611,0.0276
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",373,177.586,0.0280
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,354,178.844,0.0282
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,153,185.238,0.0256
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",216,184.500,0.0258
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,495,177.613,0.0273
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,308,183.971,0.0259
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,354,183.890,0.0272
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,164,188.929,0.0287
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",463,180.888,0.0287
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,432,183.343,0.0259
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,260,188.123,0.0284
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,36,194.632,0.0256
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,565,181.762,0.0272
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,211,191.171,0.0274
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,469,185.090,0.0274
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,472,184.698,0.0281
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,370,190.211,0.0260
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,36,198.957,0.0258
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,295,195.649,0.0264
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,444,192.040,0.0264
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,436,193.756,0.0269
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,341,196.249,0.0279
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,282,198.035,0.0278
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,605,190.159,0.0265
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,461,194.560,0.0279
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,471,194.225,0.0269
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,340,198.064,0.0271
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,271,199.972,0.0271
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,495,195.575,0.0271
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,179,205.577,0.0274
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,562,197.048,0.0274
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,279,205.830,0.0269
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,283,205.949,0.0269
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",380,203.823,0.0279
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,199,209.052,0.0274
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,424,203.552,0.0279
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,206,209.563,0.0275
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,342,206.985,0.0275
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,358,207.408,0.0275
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,435,206.293,0.0275
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,458,207.346,0.0276
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,228,214.527,0.0263
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,294,212.542,0.0278
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,285,213.644,0.0278
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,223,215.491,0.0272
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,602,206.502,0.0274
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,293,215.442,0.0262
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,324,213.598,0.0274
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,280,216.345,0.0264
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",423,213.432,0.0280
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",325,217.320,0.0260
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,343,219.070,0.0269
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,254,221.664,0.0273
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,290,222.206,0.0254
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,350,220.788,0.0281
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,397,219.607,0.0256
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",188,225.829,0.0253
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,367,221.687,0.0282
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,605,215.288,0.0273
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,379,223.789,0.0255
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,429,222.559,0.0276
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,139,233.093,0.0260
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,474,223.101,0.0276
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,437,225.344,0.0274
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",309,230.621,0.0261
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,343,228.626,0.0281
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,372,230.823,0.0260
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,345,231.669,0.0259
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,286,231.902,0.0284
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",368,233.540,0.0258
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,352,235.817,0.0269
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,203,240.468,0.0266
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,217,239.717,0.0257
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,433,237.395,0.0267
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,723,228.383,0.0285
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",367,239.576,0.0259
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,315,240.135,0.0286
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,193,245.351,0.0264
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,250,243.137,0.0259
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,551,236.272,0.0268
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,434,238.342,0.0288
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,604,234.440,0.0288
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,548,237.756,0.0261
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,223,249.318,0.0260
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,433,245.962,0.0271
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,306,249.150,0.0271
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,457,245.382,0.0268
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,297,250.686,0.0272
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,318,249.226,0.0279
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,321,250.547,0.0275
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",311,252.150,0.0264
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,493,251.932,0.0274
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,557,250.029,0.0277
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,290,257.541,0.0250
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,298,258.707,0.0250
deepseek-coder:6.7b,Write a function that reverses a 32-bit signed integer. If t...,558,251.121,0.0273
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,284,258.181,0.0274
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,591,251.919,0.0275
deepseek-coder:6.7b,Write a function that returns all permutations of a given li...,180,264.532,0.0282
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",421,259.438,0.0273
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,515,257.855,0.0254
deepseek-coder:6.7b,Design a simple URL shortener system. Write the core functio...,557,258.779,0.0274
deepseek-coder:6.7b,Implement a function to detect a cycle in a directed graph u...,679,255.204,0.0275
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,320,264.888,0.0262
deepseek-coder:6.7b,Write a function to reverse a singly linked list in-place wi...,498,260.430,0.0258
deepseek-coder:6.7b,Write a Python function to read a large text file line by li...,373,265.255,0.0264
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",399,266.441,0.0282
deepseek-coder:6.7b,Generate a regular expression that matches email addresses i...,237,270.996,0.0285
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,445,264.542,0.0283
deepseek-coder:6.7b,Given a pandas DataFrame with missing values and duplicate r...,334,268.252,0.0283
deepseek-coder:6.7b,Implement a function to perform level-order traversal (BFS) ...,411,266.076,0.0283
deepseek-coder:6.7b,"Given a string s, return the length of the longest substring...",152,275.150,0.0250
